City,Image Source,Business Name,Rating,Number of Reviews,Categories,Address,Eversports URL:L
Herbolzheim,https://files.eversports.com/7b039bba-323e-4649-ad88-fdbc96ef529a/logo_weissjpg-small.webp,"4,9 (36 Rezensionen)",rating,"4,9 (36 Rezensionen)","['Poledance', 'Power Pole', 'Chairdance', 'Aerial Silk', '+ 4']","Karl-Friedrich-Straße 76 , 79312 Emmendingen",https://www.eversports.de/l/poledance/Herbolzheim
Herford,/static/media/icon-white.929e2590.svg,5 (13 Rezensionen),rating,5 (13 Rezensionen),"['Poledance', 'Aerial Yoga', 'Chairdance', 'Aerial Hoop', '+ 3']","Königstraße 45, 32547 Bad Oeynhausen",https://www.eversports.de/l/poledance/Herford
Herne,https://files.eversports.com/8266b2aa-47aa-4afc-a0e6-53f71558a2c3/m8u_4943-1jpg-small.webp,"4,8 (49 Rezensionen)",rating,"4,8 (49 Rezensionen)","['Tanzen', 'Yoga', 'Poledance', 'Aerial Yoga', '+ 24']","Pfefferackerstraße 2A , 45894 Gelsenkirchen",https://www.eversports.de/l/poledance/Herne
Herne,https://files.eversports.com/bd664a60-43cd-4904-8913-1c61333bb3f4/sabrinity_linapole170-2-largejpeg-small.webp,"4,9 (75 Rezensionen)",rating,"4,9 (75 Rezensionen)","['Tanzen', 'Yoga', 'Poledance', 'Bootcamp', '+ 4']","Rottstraße 6 , 44793 Bochum",https://www.eversports.de/l/poledance/Herne
Herne,https://files.eversports.com/423f4250-800d-4685-b334-3e4c9f49ed32/c0fed07f-e5c6-4250-afc6-8430e77c7d5fjpeg-small.webp,5 (22 Rezensionen),rating,5 (22 Rezensionen),"['Tanzen', 'Poledance', 'Stretching', 'Floorwork', '+ 4']","Eickeler Markt 3A , 44651 Herne",https://www.eversports.de/l/poledance/Herne
Herne,https://files.eversports.com/8dfffeef-dcbc-45e2-83d6-eaa61f63fd68/tanzsaaljpg-small.webp,5 (11 Rezensionen),rating,5 (11 Rezensionen),"['Tanzen', 'Zumba', 'Hip Hop', 'Poledance', '+ 16']","Ückendorfer Straße 121 , 45886 Gelsenkirchen",https://www.eversports.de/l/poledance/Herne
Herrenberg,/static/media/icon-white.929e2590.svg,"4,7 (11 Rezensionen)",rating,"4,7 (11 Rezensionen)",['Poledance'],"Walkmühleweg 47, 75365 Calw",https://www.eversports.de/l/poledance/Herrenberg
Herten,https://files.eversports.com/8266b2aa-47aa-4afc-a0e6-53f71558a2c3/m8u_4943-1jpg-small.webp,"4,8 (49 Rezensionen)",rating,"4,8 (49 Rezensionen)","['Tanzen', 'Yoga', 'Poledance', 'Aerial Yoga', '+ 24']","Pfefferackerstraße 2A , 45894 Gelsenkirchen",https://www.eversports.de/l/poledance/Herten
Herten,https://files.eversports.com/bd664a60-43cd-4904-8913-1c61333bb3f4/sabrinity_linapole170-2-largejpeg-small.webp,"4,9 (75 Rezensionen)",rating,"4,9 (75 Rezensionen)","['Tanzen', 'Yoga', 'Poledance', 'Bootcamp', '+ 4']","Rottstraße 6 , 44793 Bochum",https://www.eversports.de/l/poledance/Herten
Herten,https://files.eversports.com/b3f06722-6554-40c9-b466-fdaa125db09a/_22b2424jpg-small.webp,"4,9 (66 Rezensionen)",rating,"4,9 (66 Rezensionen)","['Fitness', 'Poledance', 'Aerial Yoga', 'Barre-Training', '+ 9']","Gelsenkirchener Straße 37 , 46282 Dorsten",https://www.eversports.de/l/poledance/Herten
Herten,https://files.eversports.com/87abf1f1-e324-4cc0-b887-4581dfa917c2/img-20170725-wa00052225jpg-small.webp,"4,9 (22 Rezensionen)",rating,"4,9 (22 Rezensionen)","['Pilates', 'Yoga', 'Poledance', 'Acroyoga', '+ 8']","Ahsener Straße 130, 45711 Datteln",https://www.eversports.de/l/poledance/Herten
Herten,https://files.eversports.com/8dfffeef-dcbc-45e2-83d6-eaa61f63fd68/tanzsaaljpg-small.webp,5 (11 Rezensionen),rating,5 (11 Rezensionen),"['Tanzen', 'Zumba', 'Hip Hop', 'Poledance', '+ 16']","Ückendorfer Straße 121 , 45886 Gelsenkirchen",https://www.eversports.de/l/poledance/Herten
Herten,https://files.eversports.com/423f4250-800d-4685-b334-3e4c9f49ed32/c0fed07f-e5c6-4250-afc6-8430e77c7d5fjpeg-small.webp,5 (22 Rezensionen),rating,5 (22 Rezensionen),"['Tanzen', 'Poledance', 'Stretching', 'Floorwork', '+ 4']","Eickeler Markt 3A , 44651 Herne",https://www.eversports.de/l/poledance/Herten
Herzogenaurach,https://files.eversports.com/e5ed9769-85df-431b-8f0a-671a61bcde60/logo1_lightpinkpng-small.webp,"4,9 (55 Rezensionen)",rating,"4,9 (55 Rezensionen)","['Yoga', 'Poledance', 'Flexibles Training', 'Power Pole', '+ 6']","Karl-Zucker-Straße 7-9 , 91052 Erlangen",https://www.eversports.de/l/poledance/Herzogenaurach
Herzogenrath,https://files.eversports.com/b5fbdb8d-cc1e-44ab-872b-d0b211cc9007/d-img_2188-6jpg-small.webp,"4,9 (51 Rezensionen)",rating,"4,9 (51 Rezensionen)","['Fitness', 'Tanzen', 'Yoga', 'Poledance', '+ 17']","Martinstraße 10-12 , 52062 Aachen",https://www.eversports.de/l/poledance/Herzogenrath
Herzogenrath,https://files.eversports.com/0aed1787-d224-4868-b032-4f0a1ffc8ff2/photo-2021-12-12-11-50-04jpg-small.webp,5 (66 Rezensionen),rating,5 (66 Rezensionen),"['Yoga', 'Poledance', 'Massage', 'Stretching', '+ 1']","Schaufenberger Straße 61 , 52477 Alsdorf",https://www.eversports.de/l/poledance/Herzogenrath
Hilden,https://files.eversports.com/0c6cc306-d878-4025-98ee-1dff9b6060c3/dscf6104-2jpeg-small.webp,"4,9 (15 Rezensionen)",rating,"4,9 (15 Rezensionen)","['Fitness', 'Gymnastik', 'Yoga', 'Poledance', '+ 17']","Süllenstraße 30, 40599 Düsseldorf",https://www.eversports.de/l/poledance/Hilden
